iter	Passed	Remaining
0	149	149575
1	151	75740
2	153	50994
3	155	38817
4	157	31385
5	159	26393
6	160	22754
7	162	20101
8	163	18026
9	164	16332
10	166	14968
11	168	13846
12	170	12925
13	172	12135
14	174	11436
15	176	10846
16	177	10286
17	179	9793
18	180	9339
19	182	8944
20	184	8589
21	186	8285
22	187	7975
23	189	7692
24	190	7438
25	192	7200
26	193	6981
27	195	6779
28	196	6593
29	199	6443
30	201	6286
31	203	6142
32	204	6000
33	208	5926
34	210	5797
35	211	5676
36	213	5555
37	216	5469
38	217	5368
39	220	5292
40	222	5199
41	223	5104
42	225	5020
43	227	4939
44	229	4867
45	231	4806
46	234	4759
47	236	4695
48	238	4624
49	239	4557
50	241	4497
51	243	4436
52	245	4393
53	248	4345
54	250	4305
55	252	4260
56	255	4222
57	258	4194
58	260	4146
59	262	4115
60	264	4070
61	265	4022
62	267	3980
63	269	3936
64	270	3896
65	272	3857
66	274	3819
67	276	3792
68	279	3770
69	281	3742
70	283	3713
71	285	3682
72	288	3664
73	291	3645
74	294	3626
75	298	3625
76	300	3606
77	303	3585
78	305	3560
79	307	3541
80	310	3527
81	312	3501
82	314	3475
83	316	3449
84	318	3424
85	319	3398
86	321	3372
87	324	3359
88	325	3336
89	327	3312
90	329	3287
91	330	3263
92	332	3239
93	333	3217
94	335	3195
95	338	3191
96	340	3173
97	342	3155
98	345	3147
99	347	3129
100	349	3110
101	351	3090
102	353	3076
103	355	3065
104	357	3049
105	359	3032
106	361	3013
107	362	2996
108	364	2982
109	366	2969
110	372	2981
111	374	2969
112	376	2955
113	378	2941
114	380	2925
115	382	2911
116	384	2904
117	386	2890
118	388	2876
119	390	2862
120	392	2849
121	394	2836
122	396	2827
123	399	2820
124	403	2821
125	404	2808
126	407	2799
127	409	2789
128	411	2778
129	413	2766
130	416	2760
131	418	2752
132	420	2740
133	422	2729
134	424	2720
135	426	2709
136	428	2698
137	430	2686
138	432	2677
139	434	2671
140	437	2665
141	439	2656
142	441	2646
143	443	2636
144	445	2625
145	448	2620
146	449	2611
147	451	2601
148	453	2591
149	455	2582
150	457	2573
151	459	2562
152	460	2551
153	463	2545
154	465	2535
155	467	2526
156	468	2517
157	470	2506
158	472	2498
159	474	2489
160	475	2478
161	478	2475
162	481	2470
163	482	2460
164	484	2453
165	486	2443
166	487	2434
167	489	2425
168	491	2417
169	494	2416
170	496	2407
171	499	2402
172	501	2394
173	502	2386
174	504	2380
175	506	2372
176	509	2368
177	512	2366
178	514	2359
179	516	2351
180	518	2343
181	519	2335
182	521	2327
183	524	2324
184	526	2317
185	528	2313
186	530	2306
187	532	2300
188	534	2293
189	536	2288
190	538	2281
191	541	2278
192	543	2272
193	546	2269
194	548	2262
195	550	2256
196	551	2249
197	553	2243
198	555	2237
199	558	2232
200	560	2229
201	562	2222
202	564	2216
203	566	2209
204	567	2202
205	570	2199
206	572	2194
207	574	2188
208	576	2180
209	578	2175
210	580	2170
211	582	2163
212	583	2156
213	586	2152
214	588	2147
215	590	2141
216	591	2135
217	593	2128
218	594	2121
219	596	2115
220	598	2109
221	600	2102
222	602	2098
223	604	2093
224	606	2090
225	608	2085
226	610	2079
227	612	2074
228	614	2068
229	616	2064
230	619	2062
231	621	2057
232	623	2051
233	624	2045
234	626	2039
235	628	2034
236	630	2028
237	632	2025
238	634	2020
239	636	2015
240	637	2009
241	639	2004
242	641	1998
243	643	1992
244	645	1987
245	646	1982
246	648	1977
247	650	1971
248	651	1965
249	653	1960
250	655	1955
251	656	1949
252	659	1946
253	660	1941
254	663	1937
255	666	1936
256	668	1932
257	670	1927
258	672	1922
259	673	1917
260	675	1912
261	678	1909
262	680	1907
263	682	1903
264	684	1898
265	686	1893
266	688	1890
267	691	1888
268	693	1885
269	696	1882
270	698	1878
271	700	1874
272	702	1870
273	705	1868
274	706	1863
275	709	1860
276	711	1856
277	713	1853
278	715	1849
279	717	1846
280	719	1841
281	722	1838
282	724	1836
283	726	1832
284	728	1828
285	730	1823
286	733	1821
287	736	1820
288	738	1817
289	741	1814
290	743	1812
291	746	1809
292	748	1805
293	751	1803
294	753	1799
295	754	1795
296	757	1791
297	759	1788
298	760	1783
299	763	1780
300	765	1777
301	767	1772
302	768	1768
303	771	1765
304	773	1762
305	775	1759
306	777	1755
307	779	1751
308	781	1747
309	783	1743
310	784	1738
311	786	1735
312	790	1735
313	792	1731
314	794	1728
315	796	1723
316	797	1718
317	799	1714
318	802	1712
319	804	1709
320	806	1706
321	808	1702
322	810	1698
323	812	1694
324	814	1690
325	815	1686
326	818	1683
327	820	1681
328	822	1678
329	825	1675
330	826	1671
331	828	1667
332	830	1663
333	832	1659
334	834	1656
335	836	1653
336	838	1650
337	841	1647
338	843	1644
339	845	1641
340	848	1638
341	850	1636
342	853	1635
343	855	1632
344	857	1628
345	860	1625
346	862	1623
347	865	1620
348	869	1621
349	871	1618
350	873	1614
351	875	1610
352	876	1607
353	878	1602
354	881	1602
355	884	1599
356	886	1595
357	887	1592
358	889	1587
359	891	1584
360	893	1581
361	896	1579
362	898	1577
363	901	1574
364	903	1572
365	905	1568
366	907	1564
367	909	1561
368	911	1558
369	913	1556
370	917	1554
371	919	1551
372	921	1548
373	923	1545
374	925	1543
375	928	1540
376	930	1536
377	931	1533
378	934	1530
379	937	1529
380	939	1526
381	942	1524
382	944	1521
383	946	1519
384	948	1515
385	950	1512
386	953	1509
387	958	1511
388	960	1509
389	962	1505
390	964	1502
391	966	1499
392	968	1496
393	971	1493
394	975	1494
395	979	1494
396	982	1493
397	985	1490
398	991	1493
399	993	1490
400	1005	1501
401	1010	1503
402	1024	1517
403	1041	1536
404	1050	1543
405	1060	1551
406	1065	1553
407	1073	1557
408	1077	1556
409	1082	1557
410	1091	1563
411	1095	1563
412	1099	1562
413	1101	1559
414	1104	1556
415	1106	1553
416	1110	1552
417	1112	1549
418	1114	1546
419	1118	1545
420	1122	1543
421	1124	1540
422	1128	1538
423	1130	1536
424	1133	1534
425	1136	1530
426	1138	1528
427	1140	1524
428	1142	1521
429	1145	1517
430	1148	1516
431	1151	1513
432	1153	1510
433	1155	1507
434	1159	1506
435	1162	1503
436	1166	1503
437	1169	1500
438	1171	1497
439	1177	1498
440	1184	1501
441	1187	1499
